,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_precision,0.50:0.95,all,100,0.3695061088387659
1,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_precision,0.50,all,100,0.5857939836245151
2,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_precision,0.75,all,100,0.39641916227573537
3,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_precision,0.50:0.95,small,100,0.21244434584756497
4,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_precision,0.50:0.95,medium,100,0.4032686006807254
5,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_precision,0.50:0.95,large,100,0.4818128881864062
6,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_recall,0.50:0.95,all,1,0.3074620579600458
7,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_recall,0.50:0.95,all,10,0.48478889008735915
8,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_recall,0.50:0.95,all,100,0.5085217292526525
9,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_recall,0.50:0.95,small,100,0.31747516469245474
10,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_recall,0.50:0.95,medium,100,0.544261238183916
11,Faster R-CNN ResNet-50 FPN,800,41.8,240.4,3.5489781642104186,593.8095703125,bbox,avg_recall,0.50:0.95,large,100,0.6488359051276318
