,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_precision,0.50:0.95,all,100,0.3784811207121744
1,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_precision,0.50,all,100,0.5919730552239643
2,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_precision,0.75,all,100,0.4111907841086068
3,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_precision,0.50:0.95,small,100,0.21603281719183523
4,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_precision,0.50:0.95,medium,100,0.413884182452789
5,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_precision,0.50:0.95,large,100,0.49400073393044186
6,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_recall,0.50:0.95,all,1,0.3147642821617777
7,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_recall,0.50:0.95,all,10,0.4958753925601209
8,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_recall,0.50:0.95,all,100,0.5200360238192551
9,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_recall,0.50:0.95,small,100,0.32530670577538273
10,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_recall,0.50:0.95,medium,100,0.5581991546380043
11,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,bbox,avg_recall,0.50:0.95,large,100,0.6660794283925893
12,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_precision,0.50:0.95,all,100,0.34544161652500305
13,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_precision,0.50,all,100,0.5605155101993446
14,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_precision,0.75,all,100,0.3672152230587291
15,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_precision,0.50:0.95,small,100,0.15912508648392312
16,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_precision,0.50:0.95,medium,100,0.37276795684726666
17,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_precision,0.50:0.95,large,100,0.5069187808524894
18,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_recall,0.50:0.95,all,1,0.2966677973909993
19,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_recall,0.50:0.95,all,10,0.4557282016163112
20,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_recall,0.50:0.95,all,100,0.47567642971634777
21,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_recall,0.50:0.95,small,100,0.27326235540329585
22,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_recall,0.50:0.95,medium,100,0.5140046216811268
23,Mask R-CNN ResNet-50 FPN,800,44.4,259.9,3.290389647806902,603.65283203125,segm,avg_recall,0.50:0.95,large,100,0.6377042327589018
