,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_precision,0.50:0.95,all,100,0.3635789527286462
1,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_precision,0.50,all,100,0.5574143613910949
2,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_precision,0.75,all,100,0.381780317240927
3,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_precision,0.50:0.95,small,100,0.19345823257119107
4,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_precision,0.50:0.95,medium,100,0.39980083748907136
5,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_precision,0.50:0.95,large,100,0.4900599062641863
6,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_recall,0.50:0.95,all,1,0.31370036521288003
7,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_recall,0.50:0.95,all,10,0.5001950801109312
8,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_recall,0.50:0.95,all,100,0.5396927103384201
9,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_recall,0.50:0.95,small,100,0.3400472545025768
10,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_recall,0.50:0.95,medium,100,0.5813317381732803
11,RetinaNet ResNet-50 FPN,800,34.0,303.5,3.200744980280134,428.734375,bbox,avg_recall,0.50:0.95,large,100,0.6959331231780275
