,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_precision,0.50:0.95,all,100,0.2130816665764637
1,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_precision,0.50,all,100,0.3436166219865218
2,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_precision,0.75,all,100,0.22117383087583736
3,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_precision,0.50:0.95,small,100,0.010776859470770913
4,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_precision,0.50:0.95,medium,100,0.20173347765048488
5,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_precision,0.50:0.95,large,100,0.4449553213009495
6,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_recall,0.50:0.95,all,1,0.20843430369044585
7,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_recall,0.50:0.95,all,10,0.3068077173693035
8,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_recall,0.50:0.95,all,100,0.33384229271598687
9,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_recall,0.50:0.95,small,100,0.0425415818695416
10,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_recall,0.50:0.95,medium,100,0.3443354039738537
11,SSDlite320 MobileNetV3-Large,320,3.4,1.2,26.099668450592343,33.26611328125,bbox,avg_recall,0.50:0.95,large,100,0.6427840668751807
