,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_precision,0.50:0.95,all,100,0.3677150105838174
1,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_precision,0.50,all,100,0.5231747522756998
2,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_precision,0.75,all,100,0.4036145328282804
3,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_precision,0.50:0.95,small,100,0.21368379760048398
4,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_precision,0.50:0.95,medium,100,0.426710240447532
5,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_precision,0.50:0.95,large,100,0.47083717974851785
6,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_recall,0.50:0.95,all,1,0.29680827885628625
7,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_recall,0.50:0.95,all,10,0.430433236927134
8,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_recall,0.50:0.95,all,100,0.43616540763824657
9,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_recall,0.50:0.95,small,100,0.24553324640525007
10,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_recall,0.50:0.95,medium,100,0.496163346817762
11,YOLOv3,640,61.9,156.3,11.085989245150177,300.77099609375,bbox,avg_recall,0.50:0.95,large,100,0.5640038905122919
