,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_precision,0.50:0.95,all,100,0.3774806435150972
1,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_precision,0.50,all,100,0.5356156136923514
2,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_precision,0.75,all,100,0.41319364695143523
3,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_precision,0.50:0.95,small,100,0.2032813348533828
4,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_precision,0.50:0.95,medium,100,0.4296124957165059
5,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_precision,0.50:0.95,large,100,0.49702008067203074
6,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_recall,0.50:0.95,all,1,0.30292457786795884
7,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_recall,0.50:0.95,all,10,0.43802892139335775
8,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_recall,0.50:0.95,all,100,0.4437837314136235
9,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_recall,0.50:0.95,small,100,0.23204576993219342
10,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_recall,0.50:0.95,medium,100,0.49705101863679546
11,YOLOv3-spp,640,63.0,157.1,11.917303804673862,306.22607421875,bbox,avg_recall,0.50:0.95,large,100,0.5918736084741515
