,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_precision,0.50:0.95,all,100,0.3181203961433763
1,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_precision,0.50,all,100,0.4649820069100649
2,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_precision,0.75,all,100,0.35029354813780794
3,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_precision,0.50:0.95,small,100,0.1540647095963917
4,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_precision,0.50:0.95,medium,100,0.37073215954223493
5,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_precision,0.50:0.95,large,100,0.4263014783157635
6,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_recall,0.50:0.95,all,1,0.25682855329810894
7,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_recall,0.50:0.95,all,10,0.37035558051076023
8,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_recall,0.50:0.95,all,100,0.3751861726417958
9,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_recall,0.50:0.95,small,100,0.176234489423034
10,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_recall,0.50:0.95,medium,100,0.43252867263715783
11,YOLOv5s,640,7.2,16.5,50.34887996517238,78.1943359375,bbox,avg_recall,0.50:0.95,large,100,0.5094751520435121
