,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_precision,0.50:0.95,all,100,0.36950621954142393
1,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_precision,0.50,all,100,0.5857941346542179
2,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_precision,0.75,all,100,0.39641979218115214
3,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_precision,0.50:0.95,small,100,0.21244569279776243
4,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_precision,0.50:0.95,medium,100,0.4032687291236526
5,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_precision,0.50:0.95,large,100,0.48181258957028156
6,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_recall,0.50:0.95,all,1,0.3074620579600458
7,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_recall,0.50:0.95,all,10,0.4847882383668169
8,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_recall,0.50:0.95,all,100,0.5085210775321102
9,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_recall,0.50:0.95,small,100,0.31747516469245474
10,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_recall,0.50:0.95,medium,100,0.544261238183916
11,Faster R-CNN ResNet-50 FPN,800,41.8,269.1,2.9799217311577277,811.65771484375,bbox,avg_recall,0.50:0.95,large,100,0.6488288826557216
