,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_precision,0.50:0.95,all,100,0.3784786084186128
1,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_precision,0.50,all,100,0.5919477861755836
2,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_precision,0.75,all,100,0.41119255135847477
3,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_precision,0.50:0.95,small,100,0.21603286273077632
4,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_precision,0.50:0.95,medium,100,0.41387661127676456
5,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_precision,0.50:0.95,large,100,0.4940009563405365
6,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_recall,0.50:0.95,all,1,0.3147642821617777
7,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_recall,0.50:0.95,all,10,0.4958753925601209
8,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_recall,0.50:0.95,all,100,0.5200228659245183
9,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_recall,0.50:0.95,small,100,0.32530670577538273
10,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_recall,0.50:0.95,medium,100,0.5581668270517974
11,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,bbox,avg_recall,0.50:0.95,large,100,0.6660794283925893
12,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_precision,0.50:0.95,all,100,0.34543907649691064
13,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_precision,0.50,all,100,0.5604936963542253
14,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_precision,0.75,all,100,0.36721553782944477
15,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_precision,0.50:0.95,small,100,0.1591252464696313
16,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_precision,0.50:0.95,medium,100,0.3727619960032594
17,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_precision,0.50:0.95,large,100,0.5069187794335486
18,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_recall,0.50:0.95,all,1,0.2966677973909993
19,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_recall,0.50:0.95,all,10,0.4557282016163112
20,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_recall,0.50:0.95,all,100,0.4756676577865232
21,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_recall,0.50:0.95,small,100,0.27326235540329585
22,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_recall,0.50:0.95,medium,100,0.5139830699569888
23,Mask R-CNN ResNet-50 FPN,800,44.4,269.1,2.6435216871112424,821.751953125,segm,avg_recall,0.50:0.95,large,100,0.6377042327589018
