,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_precision,0.50:0.95,all,100,0.36357950029937314
1,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_precision,0.50,all,100,0.5574143044466818
2,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_precision,0.75,all,100,0.38178207193608826
3,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_precision,0.50:0.95,small,100,0.19345841099547853
4,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_precision,0.50:0.95,medium,100,0.39980085322046055
5,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_precision,0.50:0.95,large,100,0.49006150849277447
6,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_recall,0.50:0.95,all,1,0.31370036521288003
7,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_recall,0.50:0.95,all,10,0.5001953120864345
8,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_recall,0.50:0.95,all,100,0.5396929423139235
9,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_recall,0.50:0.95,small,100,0.3400472545025768
10,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_recall,0.50:0.95,medium,100,0.5813317381732803
11,RetinaNet ResNet-50 FPN,800,34.0,303.5,2.5861399688703766,580.0078125,bbox,avg_recall,0.50:0.95,large,100,0.6959340335931767
