,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_precision,0.50:0.95,all,100,0.3678014733285942
1,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_precision,0.50,all,100,0.5234904288560391
2,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_precision,0.75,all,100,0.40363086987967495
3,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_precision,0.50:0.95,small,100,0.21378215817323085
4,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_precision,0.50:0.95,medium,100,0.4267624116928933
5,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_precision,0.50:0.95,large,100,0.47079377921363785
6,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_recall,0.50:0.95,all,1,0.29685556968560806
7,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_recall,0.50:0.95,all,10,0.4305103369517902
8,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_recall,0.50:0.95,all,100,0.4362349686542538
9,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_recall,0.50:0.95,small,100,0.24565130500209287
10,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_recall,0.50:0.95,medium,100,0.49622400272478046
11,YOLOv3,640,61.9,156.3,8.209422367018133,288.5966796875,bbox,avg_recall,0.50:0.95,large,100,0.563936417776017
