,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_precision,0.50:0.95,all,100,0.4288670615926039
1,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_precision,0.50,all,100,0.5894731071653102
2,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_precision,0.75,all,100,0.46867394593974776
3,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_precision,0.50:0.95,small,100,0.249423690804346
4,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_precision,0.50:0.95,medium,100,0.4773652354482296
5,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_precision,0.50:0.95,large,100,0.5755228402309589
6,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_recall,0.50:0.95,all,1,0.33055027372743623
7,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_recall,0.50:0.95,all,10,0.4869894237902491
8,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_recall,0.50:0.95,all,100,0.49484950568617736
9,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_recall,0.50:0.95,small,100,0.28745331866147045
10,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_recall,0.50:0.95,medium,100,0.545475727562607
11,YOLOv3-spp,640,63.0,156.9,9.22821678275008,823.90673828125,bbox,avg_recall,0.50:0.95,large,100,0.6555739889695846
