,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_precision,0.50:0.95,all,100,0.12175857797328571
1,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_precision,0.50,all,100,0.218240967150221
2,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_precision,0.75,all,100,0.11970638749561976
3,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_precision,0.50:0.95,small,100,0.052789634054632745
4,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_precision,0.50:0.95,medium,100,0.16992819479162705
5,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_precision,0.50:0.95,large,100,0.14783823528299495
6,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_recall,0.50:0.95,all,1,0.10964018000288826
7,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_recall,0.50:0.95,all,10,0.1491988396742402
8,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_recall,0.50:0.95,all,100,0.15000165708563945
9,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_recall,0.50:0.95,small,100,0.059335033152679954
10,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_recall,0.50:0.95,medium,100,0.20667082778281184
11,YOLOv3-tiny,640,8.8,13.3,34.64460989049666,66.587890625,bbox,avg_recall,0.50:0.95,large,100,0.18094019232331549
