,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_precision,0.50:0.95,all,100,0.4373953680071196
1,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_precision,0.50,all,100,0.5917420349779827
2,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_precision,0.75,all,100,0.47901290832389787
3,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_precision,0.50:0.95,small,100,0.26322471773782363
4,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_precision,0.50:0.95,medium,100,0.49427822279717365
5,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_precision,0.50:0.95,large,100,0.576466962176598
6,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_recall,0.50:0.95,all,1,0.3369528828190203
7,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_recall,0.50:0.95,all,10,0.4959244776336994
8,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_recall,0.50:0.95,all,100,0.5037770355824307
9,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_recall,0.50:0.95,small,100,0.29851073922372234
10,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_recall,0.50:0.95,medium,100,0.5621337021681954
11,YOLOv5l,640,46.5,109.2,9.342889423945632,388.201171875,bbox,avg_recall,0.50:0.95,large,100,0.6616966648307251
