,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_precision,0.50:0.95,all,100,0.4010683867766988
1,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_precision,0.50,all,100,0.5552583177178149
2,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_precision,0.75,all,100,0.43952656944875645
3,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_precision,0.50:0.95,small,100,0.22181299944427332
4,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_precision,0.50:0.95,medium,100,0.45403525650662674
5,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_precision,0.50:0.95,large,100,0.534576211939789
6,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_recall,0.50:0.95,all,1,0.31278960455859417
7,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_recall,0.50:0.95,all,10,0.4564698509950209
8,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_recall,0.50:0.95,all,100,0.4633354360727304
9,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_recall,0.50:0.95,small,100,0.2534405319963353
10,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_recall,0.50:0.95,medium,100,0.5202165955752006
11,YOLOv5m,640,21.2,49.0,12.58742331523135,254.109375,bbox,avg_recall,0.50:0.95,large,100,0.6215293579332307
