,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_precision,0.50:0.95,all,100,0.23222280086253394
1,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_precision,0.50,all,100,0.362032965848831
2,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_precision,0.75,all,100,0.2512005124241133
3,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_precision,0.50:0.95,small,100,0.08729722487597343
4,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_precision,0.50:0.95,medium,100,0.27477400330372553
5,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_precision,0.50:0.95,large,100,0.31618125800565267
6,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_recall,0.50:0.95,all,1,0.19701929047293704
7,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_recall,0.50:0.95,all,10,0.27774569874639005
8,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_recall,0.50:0.95,all,100,0.2808598257642974
9,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_recall,0.50:0.95,small,100,0.09972906316469937
10,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_recall,0.50:0.95,medium,100,0.3268719131183893
11,YOLOv5n,640,1.9,4.5,48.93941536105066,49.4931640625,bbox,avg_recall,0.50:0.95,large,100,0.3842715389407133
