,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_precision,0.50:0.95,all,100,0.31807541905718756
1,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_precision,0.50,all,100,0.4649417653777847
2,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_precision,0.75,all,100,0.3503325686449268
3,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_precision,0.50:0.95,small,100,0.1540779825444525
4,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_precision,0.50:0.95,medium,100,0.37070265683980935
5,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_precision,0.50:0.95,large,100,0.4261355259280627
6,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_recall,0.50:0.95,all,1,0.2568471265485857
7,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_recall,0.50:0.95,all,10,0.37034665678580253
8,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_recall,0.50:0.95,all,100,0.3751708431018523
9,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_recall,0.50:0.95,small,100,0.17622257994223176
10,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_recall,0.50:0.95,medium,100,0.43245516900642417
11,YOLOv5s,640,7.2,4.1,25.936094659725295,79.2900390625,bbox,avg_recall,0.50:0.95,large,100,0.5093513233351413
