,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_precision,0.50:0.95,all,100,0.3344170426328797
1,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_precision,0.50,all,100,0.6069457802989786
2,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_precision,0.75,all,100,0.3378508982808887
3,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_precision,0.50:0.95,small,100,0.01683168316831683
4,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_precision,0.50:0.95,medium,100,0.29672915935731287
5,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_precision,0.50:0.95,large,100,0.33831697317086934
6,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_recall,0.50:0.95,all,1,0.4062617844506998
7,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_recall,0.50:0.95,all,10,0.4067653091234088
8,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_recall,0.50:0.95,all,100,0.4067653091234088
9,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_recall,0.50:0.95,small,100,0.016666666666666666
10,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_recall,0.50:0.95,medium,100,0.3503418803418803
11,yolov5n_no_augment_sgd_ep50_lr01_trainres608_infres608_pretrained,608,1.8,3.8,73.46076620257486,782.05810546875,bbox,avg_recall,0.50:0.95,large,100,0.41108809430429927
