,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_precision,0.50:0.95,all,100,0.38412630027925043
1,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_precision,0.50,all,100,0.625296685600303
2,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_precision,0.75,all,100,0.44939393322069915
3,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_precision,0.50:0.95,small,100,0.11782178217821779
4,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_precision,0.50:0.95,medium,100,0.3397577161666561
5,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_precision,0.50:0.95,large,100,0.38684483009202086
6,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_recall,0.50:0.95,all,1,0.4495966922269625
7,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_recall,0.50:0.95,all,10,0.4516587032107178
8,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_recall,0.50:0.95,all,100,0.4516587032107178
9,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_recall,0.50:0.95,small,100,0.16666666666666666
10,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_recall,0.50:0.95,medium,100,0.3873504273504273
11,yolov5s_se_mosaic_fl_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,70.58209633977727,803.1435546875,bbox,avg_recall,0.50:0.95,large,100,0.45508234817866894
