,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_precision,0.50:0.95,all,100,0.610183454375922
1,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_precision,0.50,all,100,0.9259615554530395
2,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_precision,0.75,all,100,0.7397858293723745
3,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_precision,0.50:0.95,small,100,0.06732673267326732
4,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_precision,0.50:0.95,medium,100,0.6078917415109871
5,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_precision,0.50:0.95,large,100,0.6112615864018633
6,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_recall,0.50:0.95,all,1,0.6853803545428492
7,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_recall,0.50:0.95,all,10,0.6865995505244974
8,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_recall,0.50:0.95,all,100,0.6865995505244974
9,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_recall,0.50:0.95,small,100,0.06666666666666667
10,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_recall,0.50:0.95,medium,100,0.6963614163614164
11,yolov5s_se_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,67.57500021289715,803.1435546875,bbox,avg_recall,0.50:0.95,large,100,0.6874472697850127
