,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_precision,0.50:0.95,all,100,0.5766783440636848
1,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_precision,0.50,all,100,0.9027157430170812
2,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_precision,0.75,all,100,0.676066543640209
3,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_precision,0.50:0.95,small,100,0.12904290429042903
4,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_precision,0.50:0.95,medium,100,0.6151422951709391
5,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_precision,0.50:0.95,large,100,0.5757913672104631
6,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_recall,0.50:0.95,all,1,0.65784051359941
7,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_recall,0.50:0.95,all,10,0.6589918515151786
8,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_recall,0.50:0.95,all,100,0.6589918515151786
9,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_recall,0.50:0.95,small,100,0.1833333333333333
10,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_recall,0.50:0.95,medium,100,0.654078144078144
11,yolov5s_se_mosaic_mixup_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.2,4.1,68.59400162376289,803.1435546875,bbox,avg_recall,0.50:0.95,large,100,0.6587596719572741
