,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_precision,0.50:0.95,all,100,0.6004316121709699
1,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_precision,0.50,all,100,0.8765996359754857
2,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_precision,0.75,all,100,0.7500977359602781
3,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_precision,0.50:0.95,small,100,0.021357850070721354
4,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_precision,0.50:0.95,medium,100,0.4421486090219941
5,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_precision,0.50:0.95,large,100,0.6076732606450376
6,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_recall,0.50:0.95,all,1,0.6755194070249014
7,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_recall,0.50:0.95,all,10,0.6763514852598617
8,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_recall,0.50:0.95,all,100,0.6763514852598617
9,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_recall,0.50:0.95,small,100,0.08333333333333333
10,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_recall,0.50:0.95,medium,100,0.56003663003663
11,yolov5s_tr_mosaic_frozen10_sgd_ep50_lr01_trainres320_infres320_pretrained_optimized,320,7.0,4.7,54.97080322509912,802.0205078125,bbox,avg_recall,0.50:0.95,large,100,0.6834256770284056
