,model,model_img_size,model_params,model_gflops,fps,max_mem,iou_type,metric,iou,area,max_dets,score
0,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_precision,0.50:0.95,all,100,0.3252413777366464
1,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_precision,0.50,all,100,0.5914576982902711
2,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_precision,0.75,all,100,0.3275730595030832
3,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_precision,0.50:0.95,small,100,0.0
4,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_precision,0.50:0.95,medium,100,0.28168458980576994
5,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_precision,0.50:0.95,large,100,0.32765930106614793
6,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_recall,0.50:0.95,all,1,0.39776153258226893
7,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_recall,0.50:0.95,all,10,0.3981643523204361
8,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_recall,0.50:0.95,all,100,0.3981643523204361
9,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_recall,0.50:0.95,small,100,0.0
10,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_recall,0.50:0.95,medium,100,0.3382173382173382
11,yolov5s_no_augment_no_pretrain_sgd_ep50_lr01_trainres320_infres320_not_pretrained,320,7.0,4.0,69.10258192647665,802.26220703125,bbox,avg_recall,0.50:0.95,large,100,0.4016188992212142
